"id","year","season","scheme","state_name","state_code","district_name","district_code","farmer_count","loanee","non_loanee","area_insured","sum_insured","farmer_share","goi_share","state_share","male","female","transgender","sc","st","obc","gen","marginal","small","other","iu_count","gross_premium"
25,"2018","Kharif","PMFBY","Assam","18","Cachar","282.0",693.0,665.0,37.0,0.37,218.35,4.37,1.31,1.31,91.31,8.69,0.0,4.13,0.43,5.84,89.6,40.03,12.11,47.86,5.0,6.99
26,"2018","Kharif","PMFBY","Assam","18","Chirang","612.0",179.0,181.0,0.0,0.27,158.5,3.2,3.79,3.79,82.32,17.68,0.0,0.55,92.27,0.55,6.63,92.82,6.08,1.1,1.0,10.78
27,"2018","Kharif","PMFBY","Assam","18","Darrang","283.0",53.0,54.0,0.0,0.04,25.08,0.04,0.0,0.0,98.15,1.85,0.0,0.0,0.0,16.67,83.33,68.52,20.37,11.11,1.0,0.04
28,"2018","Kharif","PMFBY","Assam","18","Dhemaji","284.0",70.0,70.0,1.0,0.08,47.99,0.96,0.11,0.11,85.92,14.08,0.0,2.82,32.39,52.11,12.68,52.11,19.72,28.17,4.0,1.18
29,"2018","Kharif","PMFBY","Assam","18","Dhubri","285.0",534.0,536.0,0.0,0.26,155.36,3.11,3.25,3.25,85.45,14.55,0.0,0.56,0.0,2.43,97.01,64.55,35.26,0.19,3.0,9.61
30,"2018","Kharif","PMFBY","Assam","18","Dibrugarh","286.0",679.0,597.0,94.0,0.49,290.37,4.59,0.0,0.0,76.12,23.88,0.0,7.09,11.87,49.06,31.98,56.3,38.06,5.64,7.0,4.59
31,"2018","Kharif","PMFBY","Assam","18","Goalpara","287.0",800.0,760.0,46.0,0.54,324.59,6.3,0.0,0.0,85.98,14.02,0.0,0.25,25.43,26.05,48.27,35.11,57.32,7.57,5.0,6.3
32,"2018","Kharif","PMFBY","Assam","18","Golaghat","288.0",253.0,255.0,2.0,0.2,121.52,2.43,0.95,0.95,75.49,24.51,0.0,1.17,7.39,58.37,33.07,34.24,65.76,0.0,6.0,4.34
33,"2018","Kharif","PMFBY","Assam","18","Hailakandi","289.0",593.0,586.0,20.0,0.55,331.1,1.66,0.0,0.0,91.09,8.91,0.0,23.27,5.45,8.58,62.7,19.47,58.42,22.11,4.0,1.66
34,"2018","Kharif","PMFBY","Assam","18","Jorhat","290.0",932.0,941.0,0.0,0.83,495.38,7.13,0.0,0.0,75.77,24.23,0.0,6.59,57.7,11.69,24.02,72.37,27.31,0.32,6.0,7.13
35,"2018","Kharif","PMFBY","Assam","18","Kamrup","291.0",801.0,796.0,19.0,0.58,345.07,6.9,0.86,0.86,91.17,8.83,0.0,6.99,12.76,18.16,62.09,47.24,45.28,7.48,9.0,8.63
36,"2018","Kharif","PMFBY","Assam","18","Kamrup Metropolitan","nan",287.0,287.0,0.0,0.22,131.62,0.21,0.0,0.0,72.13,27.87,0.0,27.87,29.62,17.07,25.44,26.48,72.82,0.7,3.0,0.21
37,"2018","Kharif","PMFBY","Assam","18","Karbi Anglong","292.0",234.0,234.0,0.0,0.27,164.07,0.25,0.0,0.0,64.53,35.47,0.0,10.26,78.21,8.55,2.98,95.73,0.43,3.84,2.0,0.25
38,"2018","Kharif","PMFBY","Assam","18","Karimganj","293.0",777.0,723.0,69.0,0.52,312.87,6.26,0.55,0.55,83.33,16.67,0.0,24.37,0.76,23.61,51.26,29.8,59.34,10.86,5.0,7.36
39,"2018","Kharif","PMFBY","Assam","18","Lakhimpur","295.0",2124.0,1788.0,348.0,1.68,1003.81,20.08,54.26,54.26,89.93,9.97,0.1,10.81,22.28,38.76,28.15,60.58,39.28,0.14,5.0,128.6
40,"2018","Kharif","PMFBY","Assam","18","Morigaon","nan",140.0,140.0,0.0,0.1,58.71,1.17,0.69,0.69,92.14,7.86,0.0,1.43,12.14,13.57,72.86,42.86,45.71,11.43,5.0,2.56
41,"2018","Kharif","PMFBY","Assam","18","Nagaon","297.0",6989.0,6926.0,67.0,4.29,2565.33,51.31,13.85,13.85,95.65,4.3,0.05,0.56,1.12,20.89,77.43,25.8,73.85,0.35,10.0,79.01
42,"2018","Kharif","PMFBY","Assam","18","Nalbari","298.0",2117.0,2258.0,0.0,1.3,776.97,15.54,1.79,1.79,99.51,0.49,0.0,7.79,21.43,11.65,59.13,76.48,22.85,0.67,5.0,19.12
43,"2018","Kharif","PMFBY","Assam","18","Sivasagar","300.0",306.0,308.0,0.0,0.25,150.8,0.47,0.0,0.0,75.65,24.35,0.0,3.57,3.9,41.56,50.97,54.22,43.83,1.95,6.0,0.47
