id,year,season,scheme,state_name,state_code,district_name,district_code,farmer_count,loanee,non_loanee,area_insured,sum_insured,farmer_share,goi_share,state_share,male,female,transgender,sc,st,obc,gen,marginal,small,other,iu_count,gross_premium,total_farmers,gender_gap_pct,small_marginal_share_pct,loanee_share_pct,non_loanee_share_pct
4579,2021,Rabi,PMFBY,Chhattisgarh,22,Janjgir - Champa,379,61,34,90,0.03,6.12,0.09,0.11,0.11,87.9,12.1,0.0,13.71,12.1,71.77,2.42,7.26,62.1,30.64,16,0.31,124,75.8,69.36,27.42,72.58
4580,2021,Rabi,PMFBY,Chhattisgarh,22,Jashpur,380,26,0,26,0.01,0.88,0.01,0.06,0.06,92.31,7.69,0.0,0.0,92.31,7.69,0.0,3.85,96.15,0.0,7,0.13,26,84.62,100.0,0.0,100.0
4581,2021,Rabi,PMFBY,Chhattisgarh,22,Kabeerdham,Unknown,36171,81156,24810,57.58,20585.65,308.78,1489.88,1489.88,92.58,7.32,0.1,8.91,11.24,72.49,7.36,20.59,55.19,24.22,836,3288.54,105966,85.26,75.78,76.59,23.41
4582,2021,Rabi,PMFBY,Chhattisgarh,22,Kondagaon,643,44,0,46,0.02,3.35,0.05,0.39,0.39,95.65,4.35,0.0,4.35,91.3,4.35,0.0,2.17,95.65,2.18,1,0.83,46,91.3,97.82,0.0,100.0
4583,2021,Rabi,PMFBY,Chhattisgarh,22,Korba,383,169,5,280,0.09,16.44,0.25,1.14,1.14,92.98,7.02,0.0,3.16,49.82,41.05,5.97,18.25,65.96,15.79,32,2.53,285,85.96,84.21,1.75,98.25
4584,2021,Rabi,PMFBY,Chhattisgarh,22,Koriya,Unknown,594,920,18,0.79,203.45,3.05,8.67,8.67,93.28,6.61,0.11,13.33,35.29,40.62,10.76,17.38,56.61,26.01,104,20.39,938,86.67,73.99,98.08,1.92
4585,2021,Rabi,PMFBY,Chhattisgarh,22,Mahasamund,385,209,0,1305,0.45,122.73,1.84,5.22,5.22,88.97,11.03,0.0,0.31,2.99,94.25,2.45,13.72,54.25,32.03,11,12.28,1305,77.94,67.97,0.0,100.0
4586,2021,Rabi,PMFBY,Chhattisgarh,22,Mungeli,647,4792,15709,1427,9.39,1856.34,27.84,93.12,93.12,93.34,6.57,0.09,31.79,6.68,46.61,14.92,19.6,45.16,35.24,319,214.08,17136,86.77,64.76,91.67,8.33
4587,2021,Rabi,PMFBY,Chhattisgarh,22,Raigarh,386,458,93,682,0.23,77.38,1.16,1.98,1.98,93.16,6.58,0.26,9.42,9.03,76.52,5.03,14.19,62.19,23.62,63,5.12,775,86.58,76.38,12.0,88.0
4588,2021,Rabi,PMFBY,Chhattisgarh,22,Raipur,387,118,138,227,0.22,58.62,0.88,3.39,3.39,89.04,10.96,0.0,1.64,1.92,72.33,24.11,17.81,51.78,30.41,45,7.66,365,78.08,69.59,37.81,62.19
4589,2021,Rabi,PMFBY,Chhattisgarh,22,Rajnandgaon,388,82520,331694,68455,126.32,44535.89,668.02,2435.05,2435.05,90.58,9.35,0.07,6.09,9.83,79.65,4.43,22.31,54.62,23.07,971,5538.12,400149,81.23,76.93,82.89,17.11
4590,2021,Rabi,PMFBY,Chhattisgarh,22,Sukma,642,16,0,16,0.0,0.76,0.01,0.02,0.02,87.5,12.5,0.0,0.0,100.0,0.0,0.0,43.75,56.25,0.0,2,0.06,16,75.0,100.0,0.0,100.0
4591,2021,Rabi,PMFBY,Chhattisgarh,22,Surajpur,648,1193,1858,356,1.67,470.88,7.06,13.09,13.09,94.08,5.83,0.09,11.43,44.58,32.34,11.65,16.17,60.89,22.94,161,33.24,2214,88.25,77.06,83.92,16.08
4592,2021,Rabi,PMFBY,Chhattisgarh,22,Surguja,389,1905,1466,1259,0.99,263.72,3.96,13.72,13.72,89.91,9.98,0.11,6.75,56.29,25.65,11.31,14.75,66.64,18.61,187,31.4,2725,79.93,81.39,53.8,46.2
4593,2021,Rabi,PMFBY,Chhattisgarh,22,Uttar Bastar Kanker,Unknown,42,0,49,0.02,4.84,0.07,0.16,0.16,53.06,46.94,0.0,10.2,14.29,73.47,2.04,12.24,32.65,55.11,7,0.4,49,6.12,44.89,0.0,100.0
4594,2021,Rabi,WBCIS,Chhattisgarh,22,Balod,646,197,102,244,0.13,121.6,6.08,5.88,5.88,91.91,8.09,0.0,4.34,18.5,69.65,7.51,18.21,52.02,29.77,26,17.84,346,83.82,70.23,29.48,70.52
4595,2021,Rabi,WBCIS,Chhattisgarh,22,Baloda Bazar,644,68,70,43,0.08,66.99,3.35,4.83,4.83,96.46,3.54,0.0,19.47,11.5,44.25,24.78,8.85,41.59,49.56,25,13.01,113,92.92,50.44,61.95,38.05
4596,2021,Rabi,WBCIS,Chhattisgarh,22,Balrampur,649,136,26,115,0.02,14.51,0.73,1.52,1.52,97.16,2.84,0.0,1.42,61.7,18.44,18.44,7.09,83.69,9.22,18,3.77,141,94.32,90.78,18.44,81.56
4597,2021,Rabi,WBCIS,Chhattisgarh,22,Bastar,374,529,156,763,0.42,335.52,16.78,17.14,17.14,85.2,14.8,0.0,8.6,62.02,22.74,6.64,18.17,72.8,9.03,14,51.06,919,70.4,90.97,16.97,83.03
4598,2021,Rabi,WBCIS,Chhattisgarh,22,Bemetara,650,177,508,59,0.36,342.51,17.13,21.26,21.26,91.01,8.99,0.0,4.59,10.23,54.5,30.68,8.29,22.93,68.78,26,59.65,567,82.02,31.22,89.59,10.41
4599,2021,Rabi,WBCIS,Chhattisgarh,22,Bijapur,636,52,0,53,0.01,7.07,0.35,0.19,0.19,79.25,20.75,0.0,0.0,77.36,15.09,7.55,11.32,77.36,11.32,7,0.73,53,58.5,88.68,0.0,100.0
4600,2021,Rabi,WBCIS,Chhattisgarh,22,Bilaspur,375,178,86,185,0.09,77.34,3.87,6.14,6.14,83.03,16.97,0.0,22.88,11.81,36.9,28.41,13.65,60.89,25.46,28,16.15,271,66.06,74.54,31.73,68.27
4601,2021,Rabi,WBCIS,Chhattisgarh,22,Dakshin Bastar Dantewada,Unknown,55,4,76,0.02,15.24,0.76,0.38,0.38,95.0,5.0,0.0,0.0,78.75,16.25,5.0,11.25,78.75,10.0,9,1.52,80,90.0,90.0,5.0,95.0
4602,2021,Rabi,WBCIS,Chhattisgarh,22,Dhamtari,377,77,50,71,0.06,49.84,2.49,3.63,3.63,92.56,7.44,0.0,0.83,19.83,49.59,29.75,4.13,61.98,33.89,13,9.75,121,85.12,66.11,41.32,58.68
4603,2021,Rabi,WBCIS,Chhattisgarh,22,Durg,378,514,1385,92,0.73,706.55,35.33,69.73,69.73,90.18,9.82,0.0,2.84,5.42,59.65,32.09,21.53,42.86,35.61,21,174.79,1477,80.36,64.39,93.77,6.23
4604,2021,Rabi,WBCIS,Chhattisgarh,22,Gariyaband,645,85,16,252,0.05,41.83,2.09,1.39,1.39,77.61,22.39,0.0,0.37,10.82,82.46,6.35,29.85,64.55,5.6,10,4.87,268,55.22,94.4,5.97,94.03
4605,2021,Rabi,WBCIS,Chhattisgarh,22,Gorella-Pendra-Marwahi,Unknown,104,19,124,0.03,28.57,1.43,2.21,2.21,92.31,7.69,0.0,4.9,65.73,21.68,7.69,6.99,86.71,6.3,10,5.85,143,84.62,93.7,13.29,86.71
4606,2021,Rabi,WBCIS,Chhattisgarh,22,Janjgir - Champa,379,253,21,305,0.07,56.72,2.84,1.87,1.87,90.8,9.2,0.0,16.87,10.43,65.95,6.75,47.85,43.25,8.9,36,6.58,326,81.6,91.1,6.44,93.56
4607,2021,Rabi,WBCIS,Chhattisgarh,22,Jashpur,380,177,0,203,0.04,36.61,1.83,4.08,5.51,95.57,4.43,0.0,1.97,58.13,35.47,4.43,11.33,65.52,23.15,22,11.42,203,91.14,76.85,0.0,100.0
4608,2021,Rabi,WBCIS,Chhattisgarh,22,Kabeerdham,Unknown,1716,300,4522,2.56,2506.0,125.3,313.25,674.27,88.12,11.86,0.02,4.02,3.96,82.46,9.56,22.09,60.7,17.21,26,1112.82,4822,76.26,82.79,6.22,93.78
4609,2021,Rabi,WBCIS,Chhattisgarh,22,Kondagaon,643,292,123,352,0.11,94.09,4.7,6.77,6.77,94.32,5.26,0.42,8.63,63.79,22.95,4.63,10.32,73.68,16.0,19,18.24,475,89.06,84.0,25.89,74.11
4610,2021,Rabi,WBCIS,Chhattisgarh,22,Korba,383,412,17,513,0.17,130.31,6.52,9.77,9.77,90.94,9.06,0.0,2.83,60.0,33.21,3.96,14.72,74.15,11.13,23,26.06,530,81.88,88.87,3.21,96.79
4611,2021,Rabi,WBCIS,Chhattisgarh,22,Koriya,Unknown,70,21,62,0.03,24.23,1.21,2.13,2.15,93.98,6.02,0.0,2.41,50.6,40.96,6.03,2.41,71.08,26.51,15,5.49,83,87.96,73.49,25.3,74.7
4612,2021,Rabi,WBCIS,Chhattisgarh,22,Mahasamund,385,69,80,72,0.05,43.91,2.2,1.23,1.23,92.11,7.89,0.0,3.95,20.39,62.5,13.16,15.79,63.82,20.39,16,4.66,152,84.22,79.61,52.63,47.37
4613,2021,Rabi,WBCIS,Chhattisgarh,22,Mungeli,647,72,45,56,0.08,68.83,3.44,6.38,6.38,87.13,12.87,0.0,21.78,2.97,45.54,29.71,9.9,47.52,42.58,8,16.2,101,74.26,57.42,44.55,55.45
4614,2021,Rabi,WBCIS,Chhattisgarh,22,Narayanpur,637,38,0,44,0.01,8.74,0.44,0.46,0.46,93.18,6.82,0.0,6.82,43.18,50.0,0.0,4.55,90.91,4.54,5,1.35,44,86.36,95.46,0.0,100.0
4615,2021,Rabi,WBCIS,Chhattisgarh,22,Raigarh,386,715,87,1028,0.5,407.54,20.38,17.63,17.63,91.57,8.43,0.0,4.04,27.44,58.39,10.13,12.29,72.65,15.06,41,55.64,1115,83.14,84.94,7.8,92.2
4616,2021,Rabi,WBCIS,Chhattisgarh,22,Raipur,387,68,22,85,0.1,89.87,4.49,6.03,6.03,78.5,21.5,0.0,2.8,2.8,35.51,58.89,8.41,74.77,16.82,19,16.55,107,57.0,83.18,20.56,79.44
4617,2021,Rabi,WBCIS,Chhattisgarh,22,Rajnandgaon,388,2053,1850,2900,3.07,2965.1,148.25,370.64,1055.46,87.31,12.59,0.1,5.09,11.24,69.16,14.51,17.66,53.37,28.97,64,1574.35,4750,74.72,71.03,38.95,61.05
4618,2021,Rabi,WBCIS,Chhattisgarh,22,Sukma,642,71,0,103,0.02,16.3,0.82,1.22,1.22,91.26,8.74,0.0,1.94,85.44,5.83,6.79,6.8,82.52,10.68,4,3.26,103,82.52,89.32,0.0,100.0
4619,2021,Rabi,WBCIS,Chhattisgarh,22,Surajpur,648,207,4,249,0.06,47.59,2.38,4.59,5.62,94.07,5.93,0.0,2.37,56.92,35.57,5.14,9.09,86.17,4.74,21,12.59,253,88.14,95.26,1.58,98.42
4620,2021,Rabi,WBCIS,Chhattisgarh,22,Surguja,389,614,124,551,0.1,92.93,4.65,9.28,12.68,90.22,9.78,0.0,2.37,68.0,20.3,9.33,16.0,73.04,10.96,24,26.61,675,80.44,89.04,18.37,81.63
